scenario,seed,window_start,window_end,attack_label,legal_mbps,aggregate_mbps,attacker_mbps,burst_rate,burst_loss_rate,rate_cv,active_sources
S1,202,0.25,0.5,0,70.005184,70.005184,0.0,0.0,0.0,0.0,0
S1,202,0.5,0.75,0,69.960864,69.960864,0.0,0.0,0.0,0.0,0
S1,202,0.75,1.0,0,69.935328,69.935328,0.0,0.0,0.0,0.0,0
S1,202,1.0,1.25,1,48.43824,138.53424,90.096,1000.0,0.004,1.5403334007920388e-16,1
S1,202,1.25,1.5,1,48.463392,138.559392,90.096,1000.0,0.004,1.5403334007920388e-16,1
S1,202,1.5,1.75,1,48.415776,138.511776,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,1.75,2.0,1,48.503904,138.599904,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,2.0,2.25,1,48.466752,138.562752,90.096,1000.0,0.004,1.5403334007920388e-16,1
S1,202,2.25,2.5,1,48.421504,138.517504,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,2.5,2.75,1,48.453952,138.549952,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,2.75,3.0,1,48.437792,138.533792,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,3.0,3.25,1,48.438784,138.534784,90.096,1000.0,0.004,1.5403334007920388e-16,1
S1,202,3.25,3.5,1,48.494304,138.590304,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,3.5,3.75,1,48.435904,138.531904,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,3.75,4.0,1,48.480832,138.576832,90.096,1000.0,0.004,1.5403334007920388e-16,1
S1,202,4.0,4.25,1,48.426304,138.522304,90.096,1000.0,0.0,1.5403334007920388e-16,1
S1,202,4.25,4.5,1,48.438912,138.534912,90.096,1000.0,0.004,1.5403334007920388e-16,1
S1,202,4.5,4.75,0,70.006592,70.006592,0.0,0.0,0.0,0.0,0
S1,202,4.75,5.0,0,70.03456,70.03456,0.0,0.0,0.0,0.0,0
S1,303,0.0,0.25,0,69.976288,69.976288,0.0,0.0,0.0,0.0,0
S1,303,0.25,0.5,0,70.0008,70.0008,0.0,0.0,0.0,0.0,0
S1,303,0.5,0.75,0,69.975872,69.975872,0.0,0.0,0.0,0.0,0
S1,303,0.75,1.0,0,70.006624,70.006624,0.0,0.0,0.0,0.0,0
S1,303,1.0,1.25,1,49.60192,134.63392,85.032,1000.0,0.0,0.0,1
S1,303,1.25,1.5,1,49.60368,134.63568,85.032,1000.0,0.0,0.0,1
S1,303,1.5,1.75,1,49.57856,134.61056,85.032,1000.0,0.0,0.0,1
S1,303,1.75,2.0,1,49.64656,134.67856,85.032,1000.0,0.0,0.0,1
S1,303,2.0,2.25,1,49.628736,134.660736,85.032,1000.0,0.008,0.0,1
S1,303,2.25,2.5,1,49.605568,134.637568,85.032,1000.0,0.004,0.0,1
S1,303,2.5,2.75,1,49.638848,134.670848,85.032,1000.0,0.008,0.0,1
S1,303,2.75,3.0,1,49.597504,134.629504,85.032,1000.0,0.0,0.0,1
S1,303,3.0,3.25,1,49.626208,134.658208,85.032,1000.0,0.004,0.0,1
S1,303,3.25,3.5,1,49.633856,134.665856,85.032,1000.0,0.004,0.0,1
S1,303,3.5,3.75,1,49.674624,134.706624,85.032,1000.0,0.0,0.0,1
S1,303,3.75,4.0,1,49.619264,134.651264,85.032,1000.0,0.0,0.0,1
S1,303,4.0,4.25,1,49.564992,134.596992,85.032,1000.0,0.004,0.0,1
S1,303,4.25,4.5,1,49.613344,134.645344,85.032,1000.0,0.004,0.0,1
S1,303,4.5,4.75,0,69.988064,69.988064,0.0,0.0,0.0,0.0,0
S1,303,4.75,5.0,0,69.945632,69.945632,0.0,0.0,0.0,0.0,0
S1,404,0.0,0.25,0,69.991264,69.991264,0.0,0.0,0.0,0.0,0
S1,404,0.25,0.5,0,69.988,69.988,0.0,0.0,0.0,0.0,0
S1,404,0.5,0.75,0,70.005184,70.005184,0.0,0.0,0.0,0.0,0
S1,404,0.75,1.0,0,69.92992,69.92992,0.0,0.0,0.0,0.0,0
S1,404,1.0,1.25,1,48.877856,137.301856,88.424,1000.0,0.0,0.0,1
S1,404,1.25,1.5,1,48.828512,137.252512,88.424,1000.0,0.0,0.0,1
S1,404,1.5,1.75,1,48.842112,137.266112,88.424,1000.0,0.004,0.0,1
S1,404,1.75,2.0,1,48.856416,137.280416,88.424,1000.0,0.0,0.0,1
S1,404,2.0,2.25,1,48.788544,137.212544,88.424,1000.0,0.012,0.0,1
S1,404,2.25,2.5,1,48.846112,137.270112,88.424,1000.0,0.0,0.0,1
S1,404,2.5,2.75,1,48.86512,137.28912,88.424,1000.0,0.004,0.0,1
S1,404,2.75,3.0,1,48.766624,137.190624,88.424,1000.0,0.012,0.0,1
S1,404,3.0,3.25,1,48.808,137.232,88.424,1000.0,0.0,0.0,1
S1,404,3.25,3.5,1,48.840096,137.264096,88.424,1000.0,0.004,0.0,1
S1,404,3.5,3.75,1,48.824448,137.248448,88.424,1000.0,0.0,0.0,1
S1,404,3.75,4.0,1,48.828992,137.252992,88.424,1000.0,0.004,0.0,1
S1,404,4.0,4.25,1,48.82304,137.24704,88.424,1000.0,0.004,0.0,1
S1,404,4.25,4.5,1,48.830912,137.254912,88.424,1000.0,0.0,0.0,1
S1,404,4.5,4.75,0,69.994272,69.994272,0.0,0.0,0.0,0.0,0
S1,404,4.75,5.0,0,69.989376,69.989376,0.0,0.0,0.0,0.0,0
S1,505,0.0,0.25,0,70.016032,70.016032,0.0,0.0,0.0,0.0,0
S1,505,0.25,0.5,0,70.01424,70.01424,0.0,0.0,0.0,0.0,0
S1,505,0.5,0.75,0,69.977312,69.977312,0.0,0.0,0.0,0.0,0
S1,505,0.75,1.0,0,69.953216,69.953216,0.0,0.0,0.0,0.0,0
S1,505,1.0,1.25,1,44.554656,154.010656,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,1.25,1.5,1,44.621984,154.077984,109.456,1000.0,0.004,1.2678873527063625e-16,1
S1,505,1.5,1.75,1,44.587424,154.043424,109.456,1000.0,0.004,1.2678873527063625e-16,1
S1,505,1.75,2.0,1,44.570784,154.026784,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,2.0,2.25,1,44.558432,154.014432,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,2.25,2.5,1,44.574848,154.030848,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,2.5,2.75,1,44.590304,154.046304,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,2.75,3.0,1,44.574496,154.030496,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,3.0,3.25,1,44.56336,154.01936,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,3.25,3.5,1,44.57664,154.03264,109.456,1000.0,0.004,1.2678873527063625e-16,1
S1,505,3.5,3.75,1,44.5856,154.0416,109.456,1000.0,0.008,1.2678873527063625e-16,1
S1,505,3.75,4.0,1,44.5928,154.0488,109.456,1000.0,0.004,1.2678873527063625e-16,1
S1,505,4.0,4.25,1,44.587488,154.043488,109.456,1000.0,0.0,1.2678873527063625e-16,1
S1,505,4.25,4.5,1,44.578688,154.034688,109.456,1000.0,0.008,1.2678873527063625e-16,1
S1,505,4.5,4.75,0,70.049376,70.049376,0.0,0.0,0.0,0.0,0
S1,505,4.75,5.0,0,70.053152,70.053152,0.0,0.0,0.0,0.0,0
S1,606,0.0,0.25,0,69.98768,69.98768,0.0,0.0,0.0,0.0,0
S1,606,0.25,0.5,0,69.950688,69.950688,0.0,0.0,0.0,0.0,0
S1,606,0.5,0.75,0,69.962464,69.962464,0.0,0.0,0.0,0.0,0
S1,606,0.75,1.0,0,69.995776,69.995776,0.0,0.0,0.0,0.0,0
S1,606,1.0,1.25,1,45.07504,151.60304,106.528,1000.0,0.0,1.3027361639927428e-16,1
S1,606,1.25,1.5,1,45.088896,151.616896,106.528,1000.0,0.008,1.3027361639927428e-16,1
S1,606,1.5,1.75,1,45.12224,151.65024,106.528,1000.0,0.004,1.3027361639927428e-16,1
S1,606,1.75,2.0,1,45.10976,151.63776,106.528,1000.0,0.004,1.3027361639927428e-16,1
S1,606,2.0,2.25,1,45.11216,151.64016,106.528,1000.0,0.0,1.3027361639927428e-16,1
S1,606,2.25,2.5,1,45.132672,151.660672,106.528,1000.0,0.0,1.3027361639927428e-16,1
S1,606,2.5,2.75,1,45.151648,151.679648,106.528,1000.0,0.004,1.3027361639927428e-16,1
